timestamp,username,room,message
"2026-06-10 23:51:28","gbolk","tolol","bangsat"
"2026-06-10 23:51:36","babi","tolol","tolol lu"
"2026-06-10 23:51:44","kontol","tolol","anjign kalian"
"2026-06-10 23:52:10","gbolk","tolol","ngentot ngentot"
"2026-06-10 23:54:19","vian","Domba Allah","monyet"
"2026-06-10 23:54:24","sinclair","Domba Allah","lu ajg"
"2026-06-10 23:54:29","kennjo","Domba Allah","santai bos"
"2026-06-10 23:55:34","vian","Domba Allah","woy bot"
"2026-06-10 23:55:36","sinclair","Domba Allah","apa su"
"2026-06-11 00:01:39","jj","k","ppppppp"
"2026-06-11 12:24:48","Eclipse73","Test Image & video","Hello"
"2026-06-11 12:24:52","Kenjo","Test Image & video","Done"
"2026-06-11 20:55:40","Eclipse73","P2P Test","Test"
"2026-06-11 20:55:43","Eclipse73","P2P Test","Halo Kenjo"
"2026-06-11 21:00:39","Eclipse73","P2P Test","Halo"
"2026-06-11 21:02:02","Eclipse73","P2P Test","Vian manaaaaa?????"
"2026-06-11 21:25:09","Eclipse","Laudey","Yow"
